,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
20,tt7620746,A Night to Regret,A Night to Regret,2018,2018-06-24,Thriller,89,USA,English,Tom Shell,"Christine Conradt, Chris Lancey",Creative Arts Entertainment Group Inc.,"Marguerite Moreau, Mollee Gray, Kevin McNamara, Kirstin Pfeiffer, Gigi Zumbado, Jeremy John Wells, Mary Kate Corsetti, Rory Gibson, Tina Huang, Christopher Kinsman, Alycia Lancey, Brittini London, Tyler Sellers, Rebecca Tudor","When Chelsea meets up with her estranged childhood best friend, Milla, she's unprepared for the events that follow. Milla, who is now a webcam girl briefly catches Chelsea on camera during ...",5.3,251,,,,,8.0,3.0
21,tt0032818,The Mummy's Hand,The Mummy's Hand,1940,1940-09-20,"Adventure, Fantasy, Horror",67,USA,English,Christy Cabanne,"Griffin Jay, Griffin Jay",Universal Pictures,"Dick Foran, Peggy Moran, Wallace Ford, Eduardo Ciannelli, George Zucco, Cecil Kellaway, Charles Trowbridge, Tom Tyler, Sig Arno, Eddie Foster, Harry Stubbs, Michael Mark, Mara Tartar, Leon Belasco","An ancient mummy is revived to destroy the invaders of the 3,000 year-old tomb of an Egyptian princess.",6.1,3395,,,,,86.0,40.0
22,tt2006721,Divorzio d'amore,Divorce Invitation,2012,2012-11-15,"Comedy, Romance",110,USA,English,S.V. Krishna Reddy,"S.V. Krishna Reddy, Bala Rajasekharuni",R R Movie Makers,"Jamie-Lynn Sigler, Elliott Gould, Jonathan Bennett, Richard Kind, Lainie Kazan, Paul Sorvino, Amanda Leighton, Jennifer Elise Cox, Greg Evigan, Nadia Bjorlin, Andrea Bowen, Robin Riker, David Blue, Robinne Lee, Keith Robinson","'Divorce Invitation' centers on Mike Christian, a happily married man who runs into his high school sweetheart Alex, and after all these years, sparks still fly. When Mike is determined ...",4.6,1395,$ 4500000,,,,11.0,1.0
23,tt8106534,6 Underground,6 Underground,2019,2019-12-13,"Action, Thriller",128,USA,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",Michael Bay,"Paul Wernick, Rhett Reese",Bay Films,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona, Dave Franco, Corey Hawkins, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold, Lídia Franco, James Murray, Lukhanyo Bele, George Kareman","Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future.",6.1,129507,$ 150000000,,,41.0,2298.0,117.0
24,tt0029498,Rootin' Tootin' Rhythm,Rootin' Tootin' Rhythm,1937,1937-05-12,"Action, Adventure, Comedy",65,USA,English,Mack V. Wright,"Johnston McCulley, Jack Natteford",Republic Pictures (I),"Gene Autry, Smiley Burnette, Armida, Monte Blue, Al Clauser and His Oklahoma Outlaws, Champion, Hal Taliaferro, Ann Pendleton, Max Hoffman Jr., Charles King, Frankie Marvin, Nina Campana, Charles Meyers","Gene and Frog, out to stop a bunch of cattle rustlers, assume the identities of what they believe to be dead bandits, which soon gets them in big trouble.",5.5,106,,,,,9.0,
25,tt0089539,Malibu Express,Malibu Express,1985,1985-03-01,"Comedy, Crime, Mystery",105,USA,English,Andy Sidaris,Andy Sidaris,Andy Sidaris Company,"Darby Hinton, Sybil Danning, Art Metrano, Shelley Taylor Morgan, Brett Baxter Clark, Niki Dantine, Lori Sutton, Lorraine Michaels, Lynda Wiesmeier, Kimberly McArthur, Barbara Edwards, Abb Dickson, Busty O'Shea, Randy Rudy, Michael A. Andrews",A womanizing private detective is assigned the task of investigating who is behind the hi-tech computer technology leaks to the Russians.,4.7,1720,$ 500000,,,,23.0,40.0
26,tt0190865,Vertical Limit,Vertical Limit,2000,2001-02-23,"Action, Adventure, Drama",124,"USA, Germany","English, Urdu",Martin Campbell,"Robert King, Robert King",Columbia Pictures,"Chris O'Donnell, Robin Tunney, Stuart Wilson, Augie Davis, Temuera Morrison, Roshan Seth, Alejandro Valdes-Rochin, Nicholas Lea, Rod Brown, Scott Glenn, Steve Le Marquand, Ben Mendelsohn, Izabella Scorupco, Bill Paxton, Ed Viesturs","A climber must rescue his sister on top of K2, one of the world's biggest mountains.",5.9,57823,$ 75000000,$ 69243859,$ 215663859,48.0,394.0,137.0
27,tt2518370,The One I Wrote for You,The One I Wrote for You,2014,2014-12-05,"Drama, Family, Music",110,USA,English,Andrew Lauer,"David Kauffman, David Kauffman",,"Cheyenne Jackson, Kevin Pollak, Christine Woods, Avi Lake, Christopher Lloyd, Rafael de la Fuente, Cameron Kauffman, Enid Graham, Douglas Caballero, Rushi Kota, Brad Leland, ErinRose Widner, Andrew Sensenig, Amanda Phillips, Evelyn Hurley","A singer and songwriter, who gave up his dream is entered into a Reality TV songwriting contest. But after losing the first two rounds, he takes on a win-at-all-costs attitude, even if winning means losing himself.",6.0,290,,$ 58872,$ 58872,,6.0,3.0
28,tt3748172,Il gioco di Gerald,Gerald's Game,2017,2017-09-29,"Drama, Horror, Thriller",103,USA,English,Mike Flanagan,"Mike Flanagan, Jeff Howard",Intrepid Pictures,"Carla Gugino, Bruce Greenwood, Chiara Aurelia, Carel Struycken, Henry Thomas, Kate Siegel, Adalyn Jones, Bryce Harper, Gwendolyn Mulamba, James Flanagan, Dori Lumpkin, Natalie Roers, Nikia Reynolds, Bill Riales, Chuck Borden","A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.",6.6,84184,,,,77.0,314.0,156.0
29,tt0360890,Poem - Ich setzte den Fuß in die Luft und sie trug,Poem - Ich setzte den Fuß in die Luft und sie trug,2003,2003-05-08,Drama,95,"Germany, USA","German, English",Ralf Schmerberg,"Antonia Keinz, Hermann Hesse",RadicalMedia,"Carmen Simone Birk, Lars Rudolph, Isabel Tuengerthal, Herbert Fritsch, Richy Müller, Luise Rainer, Charlotte Müller, Meret Becker, Jorinde Beckmann, David Bennent, Klaus Maria Brandauer, Anna Böttcher, Hannelore Elsner, John Gassmann, Larry Gassmann","Love and passion, happiness and unhappiness - in short, the power of feelings, the human and the all-too-human summarized in a magical journey through the world of poetry and imagination.",6.8,102,,,,,3.0,5.0
